source_text,machine_translation,source_language,target_language,domain
"Hello world","Kumusta mundo","en","tagalog","general"
"How are you?","Kumusta ka?","en","tagalog","conversation"
"Where is the hospital?","Nasaan ang ospital?","en","tagalog","medical"
"Thank you very much","Maraming salamat","en","tagalog","general"
"The weather is nice today","Maganda ang panahon ngayon","en","tagalog","weather"
"Can you help me?","Pwede mo ba akong tulungan?","en","tagalog","general"
"What time is it?","Anong oras na?","en","tagalog","time"
"I need to go to the store","Kailangan kong pumunta sa tindahan","en","tagalog","shopping"
"The food is delicious","Masarap ang pagkain","en","tagalog","food"
"Please wait here","Mangyaring maghintay dito","en","tagalog","polite"
"Good morning","Maayong buntag","en","cebuano","greetings"
"Where is the market?","Asa ang merkado?","en","cebuano","directions"
"I need help","Kinahanglan nako og tabang","en","cebuano","emergency"
"Please wait","Palihog hulat","en","cebuano","polite"
"The food is delicious","Lami ang pagkaon","en","cebuano","food"
"How much does it cost?","Pila ini?","en","cebuano","shopping"
"The meeting is at 3 PM","Ang meeting sa 3 PM","en","cebuano","business"
"Thank you very much","Agyamanak unay","en","ilocano","polite"
"Where is the bathroom?","Sadino ti banio?","en","ilocano","directions"
"Take this medicine","Alaem daytoy nga agas","en","ilocano","medical" 
